Column Name,Data Type,Unit,UCD,Description
g_ap06Flux_flag,boolean,,,General Failure Flag. Forced on g-band.
g_ap09Flux,double,nJy,,Flux within 9.0-pixel aperture. Forced on g-band.
g_ap09FluxErr,double,nJy,,Flux uncertainty within 9.0-pixel aperture. Forced on g-band.
g_ap09Flux_flag,boolean,,,General Failure Flag. Forced on g-band.
g_ap12Flux,double,nJy,,Flux within 12.0-pixel aperture. Forced on g-band.
g_ap12FluxErr,double,nJy,,Flux uncertainty within 12.0-pixel aperture. Forced on g-band.
g_ap12Flux_flag,boolean,,,General Failure Flag. Forced on g-band.
g_ap17Flux,double,nJy,,Flux within 17.0-pixel aperture. Forced on g-band.
g_ap17FluxErr,double,nJy,,Flux uncertainty within 17.0-pixel aperture. Forced on g-band.
g_ap17Flux_flag,boolean,,,General Failure Flag. Forced on g-band.
g_ap25Flux,double,nJy,,Flux within 25.0-pixel aperture. Forced on g-band.
g_ap25FluxErr,double,nJy,,Flux uncertainty within 25.0-pixel aperture. Forced on g-band.
g_ap25Flux_flag,boolean,,,General Failure Flag. Forced on g-band.
g_ap35Flux,double,nJy,,Flux within 35.0-pixel aperture. Forced on g-band.
g_ap35FluxErr,double,nJy,,Flux uncertainty within 35.0-pixel aperture. Forced on g-band.
g_ap35Flux_flag,boolean,,,General Failure Flag. Forced on g-band.
g_ap50Flux,double,nJy,,Flux within 50.0-pixel aperture. Forced on g-band.
g_ap50FluxErr,double,nJy,,Flux uncertainty within 50.0-pixel aperture. Forced on g-band.
g_ap50Flux_flag,boolean,,,General Failure Flag. Forced on g-band.
g_ap70Flux,double,nJy,,Flux within 70.0-pixel aperture. Forced on g-band.
g_ap70FluxErr,double,nJy,,Flux uncertainty within 70.0-pixel aperture. Forced on g-band.
g_ap70Flux_flag,boolean,,,General Failure Flag. Forced on g-band.
g_apFlux_flag,boolean,,,General Failure Flag. Measured on g-band.
g_apFlux_flag_apertureTruncated,boolean,,,Aperture did not fit within measurement image. Measured on g-band.
g_apFlux_flag_sincCoeffsTruncated,boolean,,,Full sinc coefficient image did not fit within measurement image. Measured on g-band.
g_bdChi2,double,,,-ln(likelihood) (chi^2) in cmodel fit. Measured on g-band.
g_bdE1,double,pixel^2,,FracDev-weighted average of exp.ellipse and dev.ellipse. Measured on g-band.
g_bdE2,double,pixel^2,,FracDev-weighted average of exp.ellipse and dev.ellipse. Measured on g-band.
g_bdFluxB,double,nJy,,Flux from the de Vaucouleur fit. Measured on g-band.
g_bdFluxBErr,double,nJy,,Flux uncertainty from the de Vaucouleur fit. Measured on g-band.
g_bdFluxD,double,nJy,,Flux from the exponential fit. Measured on g-band.
g_bdFluxDErr,double,nJy,,Flux uncertainty from the exponential fit. Measured on g-band.
g_bdReB,double,pixel^2,,Half-light ellipse of the de Vaucouleur fit. Measured on g-band.
g_bdReD,double,pixel^2,,Half-light ellipse of the exponential fit. Measured on g-band.
g_blendedness,double,,,"Measure of how much the flux is affected by neighbors, (1 - child_flux/parent_flux). Operates on the absolute value of the pixels to try to obtain a de-noised value. See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details. Measured on g-band."
g_blendedness_flag,boolean,,,General Failure Flag. Measured on g-band.
g_cModelFlux,double,nJy,,Flux from the final cmodel fit. Forced on g-band.
g_cModelFluxErr,double,nJy,,Flux uncertainty from the final cmodel fit. Forced on g-band.
g_cModelFlux_inner,double,nJy,,"Flux within the fit region, with no extrapolation. Forced on g-band."
g_cModel_flag,boolean,,,Flag set if the final cmodel fit (or any previous fit) failed. Forced on g-band.
g_cModel_flag_apCorr,boolean,,,Set if unable to aperture correct modelfit_CModel. Forced on g-band.
g_calibFlux,double,nJy,,Flux within 12.0-pixel aperture. Measured on g-band.
g_calibFluxErr,double,nJy,,Flux uncertainty within 12.0-pixel aperture. Measured on g-band.
g_calibFlux_flag,boolean,,,General Failure Flag. Measured on g-band.
g_calibFlux_flag_apertureTruncated,boolean,,,Aperture did not fit within measurement image. Measured on g-band.
g_calibFlux_flag_sincCoeffsTruncated,boolean,,,Full sinc coefficient image did not fit within measurement image. Measured on g-band.
g_calib_astrometry_used,boolean,,,Propagated from sources. Measured on g-band.
g_calib_photometry_reserved,boolean,,,Propagated from sources. Measured on g-band.
g_calib_photometry_used,boolean,,,Propagated from sources. Measured on g-band.
g_calib_psf_candidate,boolean,,,Propagated from sources. Measured on g-band.
g_calib_psf_reserved,boolean,,,Propagated from sources. Measured on g-band.
g_calib_psf_used,boolean,,,Propagated from sources. Measured on g-band.
g_centroid_flag,boolean,,,General Failure Flag. Measured on g-band.
g_centroid_x,double,pixel,,Centroid from Sdss Centroid algorithm. Measured on g-band.
g_centroid_xErr,float,pixel,,1-sigma uncertainty on x position. Measured on g-band.
g_centroid_y,double,pixel,,Centroid from Sdss Centroid algorithm. Measured on g-band.
g_centroid_yErr,float,pixel,,1-sigma uncertainty on y position. Measured on g-band.
g_decl,double,deg,pos.eq.dec,Position in ra/dec. Measured on g-band.
g_extendedness,double,,,"Set to 1 for extended sources, 0 for point sources. Measured on g-band."
g_extendedness_flag,boolean,,,Set to 1 for any fatal failure. Measured on g-band.
g_free_cModelFlux,double,nJy,,Flux from the final cmodel fit. Measured on g-band.
g_free_cModelFluxErr,double,nJy,,Flux uncertainty from the final cmodel fit. Measured on g-band.
g_free_cModelFlux_flag,boolean,,,Flag set if the final cmodel fit (or any previous fit) failed. Measured on g-band.
g_free_cModelFlux_inner,double,nJy,,"Flux within the fit region, with no extrapolation. Measured on g-band."
g_free_psfFlux,double,nJy,,Flux derived from linear least-squares fit of PSF model. Measured on g-band.
g_free_psfFluxErr,double,nJy,,Flux uncertainty derived from linear least-squares fit of PSF model. Measured on g-band.
g_free_psfFlux_flag,boolean,,,General Failure Flag. Measured on g-band.
g_fwhm,double,pixel^2,,HSM moments. Measured on g-band.
g_gaap0p5Flux,double,nJy,,GAaP Flux with 0.5 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap0p5FluxErr,double,nJy,,GAaP Flux uncertainty with 0.5 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap0p5Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on g-band.
g_gaap0p7Flux,double,nJy,,GAaP Flux with 0.7 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap0p7FluxErr,double,nJy,,GAaP Flux uncertainty with 0.7 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap0p7Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on g-band.
g_gaap1p0Flux,double,nJy,,GAaP Flux with 1.0 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap1p0FluxErr,double,nJy,,GAaP Flux uncertainty with 1.0 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap1p0Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on g-band.
g_gaap1p5Flux,double,nJy,,GAaP Flux with 1.5 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap1p5FluxErr,double,nJy,,GAaP Flux uncertainty with 1.5 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap1p5Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on g-band.
g_gaap2p5Flux,double,nJy,,GAaP Flux with 2.5 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap2p5FluxErr,double,nJy,,GAaP Flux uncertainty with 2.5 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap2p5Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on g-band.
g_gaap3p0Flux,double,nJy,,GAaP Flux with 3.0 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap3p0FluxErr,double,nJy,,GAaP Flux uncertainty with 3.0 aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaap3p0Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on g-band.
g_gaapFlux_flag,boolean,,,Set for any fatal failure. Forced on g-band.
g_gaapFlux_flag_edge,boolean,,,Source is too close to the edge. Forced on g-band.
g_gaapFlux_flag_gaussianization,boolean,,,PSF Gaussianization failed when trying to scale by this factor. Forced on g-band.
g_gaapOptimalFlux,double,nJy,,GAaP Flux with optimal aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaapOptimalFluxErr,double,nJy,,GAaP Flux uncertainty with optimal aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaapOptimalFlux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on g-band.
g_gaapPsfFlux,double,nJy,,GAaP Flux with PSF aperture after multiplying the seeing by 1.15. Forced on g-band.
g_gaapPsfFluxErr,double,nJy,,GAaP Flux uncertainty with PSF aperture after multiplying the seeing by 1.15. Forced on g-band.
g_hsmShapeRegauss_e1,double,,,PSF-corrected shear using Hirata & Seljak (2003) regaussianization. Measured on g-band.
g_hsmShapeRegauss_e2,double,,,PSF-corrected shear using Hirata & Seljak (2003) regaussianization. Measured on g-band.
g_hsmShapeRegauss_flag,boolean,,,"General failure flag, set if anything went wrong. Measured on g-band."
g_hsmShapeRegauss_sigma,double,,,PSF-corrected shear using Hirata & Seljak (2003) regaussianization. Measured on g-band.
g_iDebiasedPSF_flag,boolean,,,"General failure flag, set if anything went wrong. Measured on g-band."
g_iPSF_flag,boolean,,,"General failure flag, set if anything went wrong. Measured on g-band."
g_iRound_flag,double,pixel^2,,HSM moments. Measured on g-band.
g_i_flag,boolean,,,"General failure flag, set if anything went wrong. Measured on g-band."
g_inputCount,int,,,"Number of images contributing at center, not including anyclipping. Forced on g-band."
g_inputCount_flag,boolean,,,Set for any fatal failure. Forced on g-band.
g_inputCount_flag_noInputs,boolean,,,No coadd inputs available. Forced on g-band.
g_ixx,double,pixel^2,,HSM moments. Measured on g-band.
g_ixxDebiasedPSF,double,pixel^2,,HSM moments. Measured on g-band.
g_ixxPSF,double,pixel^2,,HSM moments. Measured on g-band.
g_ixxRound,double,pixel^2,,HSM moments. Measured on g-band.
g_ixy,double,pixel^2,,HSM moments. Measured on g-band.
g_ixyDebiasedPSF,double,pixel^2,,HSM moments. Measured on g-band.
g_ixyPSF,double,pixel^2,,HSM moments. Measured on g-band.
g_ixyRound,double,pixel^2,,HSM moments. Measured on g-band.
g_iyy,double,pixel^2,,HSM moments. Measured on g-band.
g_iyyDebiasedPSF,double,pixel^2,,HSM moments. Measured on g-band.
g_iyyPSF,double,pixel^2,,HSM moments. Measured on g-band.
g_iyyRound,double,pixel^2,,HSM moments. Measured on g-band.
g_kronFlux,double,nJy,,Flux from Kron Flux algorithm. Measured on g-band.
g_kronFluxErr,double,nJy,,Flux uncertainty from Kron Flux algorithm. Measured on g-band.
g_kronFlux_flag,boolean,,,"General failure flag, set if anything went wrong. Measured on g-band."
g_kronFlux_flag_bad_radius,boolean,,,Bad Kron radius. Measured on g-band.
g_kronFlux_flag_bad_shape,boolean,,,Shape for measuring Kron radius is bad; used PSF shape. Measured on g-band.
g_kronFlux_flag_bad_shape_no_psf,boolean,,,Bad shape and no PSF. Measured on g-band.
g_kronFlux_flag_edge,boolean,,,Bad measurement due to image edge. Measured on g-band.
g_kronFlux_flag_no_fallback_radius,boolean,,,No minimum radius and no PSF provided. Measured on g-band.
g_kronFlux_flag_no_minimum_radius,boolean,,,"Minimum radius could not enforced, no minimum value or PSF. Measured on g-band."
g_kronFlux_flag_small_radius,boolean,,,Measured Kron radius was smaller than that of the PSF. Measured on g-band.
g_kronFlux_flag_used_minimum_radius,boolean,,,Used the minimum radius for the Kron aperture. Measured on g-band.
g_kronFlux_flag_used_psf_radius,boolean,,,Used the PSF Kron radius for the Kron aperture. Measured on g-band.
g_kronRad,float,,,Kron radius (sqrt(a*b)). Measured on g-band.
g_pixelFlags_bad,boolean,,,Bad pixel in the Source footprint. Measured on g-band.
g_pixelFlags_clipped,boolean,,,Source footprint includes CLIPPED pixels. Measured on g-band.
g_pixelFlags_clippedCenter,boolean,,,Source center is close to CLIPPED pixels. Measured on g-band.
g_pixelFlags_cr,boolean,,,Cosmic ray in the Source footprint. Measured on g-band.
g_pixelFlags_crCenter,boolean,,,Cosmic ray in the Source center. Measured on g-band.
g_pixelFlags_edge,boolean,,,Source is outside usable exposure region (masked EDGE or NO_DATA). Measured on g-band.
g_pixelFlags_inexact_psf,boolean,,,Source footprint includes INEXACT_PSF pixels. Measured on g-band.
g_pixelFlags_inexact_psfCenter,boolean,,,Source center is close to INEXACT_PSF pixels. Measured on g-band.
g_pixelFlags_interpolated,boolean,,,Interpolated pixel in the Source footprint. Measured on g-band.
g_pixelFlags_interpolatedCenter,boolean,,,Interpolated pixel in the Source center. Measured on g-band.
g_pixelFlags_offimage,boolean,,,Source center is off image. Measured on g-band.
g_pixelFlags_saturated,boolean,,,Saturated pixel in the Source footprint. Measured on g-band.
g_pixelFlags_saturatedCenter,boolean,,,Saturated pixel in the Source center. Measured on g-band.
g_pixelFlags_sensor_edge,boolean,,,Source footprint includes SENSOR_EDGE pixels. Measured on g-band.
g_pixelFlags_sensor_edgeCenter,boolean,,,Source center is close to SENSOR_EDGE pixels. Measured on g-band.
g_pixelFlags_suspect,boolean,,,Sources footprint includes suspect pixels. Measured on g-band.
g_pixelFlags_suspectCenter,boolean,,,Sources center is close to suspect pixels. Measured on g-band.
g_psfFlux,double,nJy,,Flux derived from linear least-squares fit of PSF model. Forced on g-band.
g_psfFluxErr,double,nJy,,Flux uncertainty derived from linear least-squares fit of PSF model. Forced on g-band.
g_psfFlux_area,float,pixel,,Effective area of PSF. Forced on g-band.
g_psfFlux_flag,boolean,,,General Failure Flag. Forced on g-band.
g_psfFlux_flag_apCorr,boolean,,,Set if unable to aperture correct base_PsfFlux. Forced on g-band.
g_psfFlux_flag_edge,boolean,,,Object was too close to the edge of the image to use the full PSF model. Forced on g-band.
g_psfFlux_flag_noGoodPixels,boolean,,,Not enough non-rejected pixels in data to attempt the fit. Forced on g-band.
g_ra,double,deg,pos.eq.ra,Position in ra/dec. Measured on g-band.
i_ap03Flux,double,nJy,,Flux within 3.0-pixel aperture. Forced on i-band.
i_ap03FluxErr,double,nJy,,Flux uncertainty within 3.0-pixel aperture. Forced on i-band.
i_ap03Flux_flag,boolean,,,General Failure Flag. Forced on i-band.
i_ap06Flux,double,nJy,,Flux within 6.0-pixel aperture. Forced on i-band.
i_ap06FluxErr,double,nJy,,Flux uncertainty within 6.0-pixel aperture. Forced on i-band.
i_ap06Flux_flag,boolean,,,General Failure Flag. Forced on i-band.
i_ap09Flux,double,nJy,,Flux within 9.0-pixel aperture. Forced on i-band.
i_ap09FluxErr,double,nJy,,Flux uncertainty within 9.0-pixel aperture. Forced on i-band.
i_ap09Flux_flag,boolean,,,General Failure Flag. Forced on i-band.
i_ap12Flux,double,nJy,,Flux within 12.0-pixel aperture. Forced on i-band.
i_ap12FluxErr,double,nJy,,Flux uncertainty within 12.0-pixel aperture. Forced on i-band.
i_ap12Flux_flag,boolean,,,General Failure Flag. Forced on i-band.
i_ap17Flux,double,nJy,,Flux within 17.0-pixel aperture. Forced on i-band.
i_ap17FluxErr,double,nJy,,Flux uncertainty within 17.0-pixel aperture. Forced on i-band.
i_ap17Flux_flag,boolean,,,General Failure Flag. Forced on i-band.
i_ap25Flux,double,nJy,,Flux within 25.0-pixel aperture. Forced on i-band.
i_ap25FluxErr,double,nJy,,Flux uncertainty within 25.0-pixel aperture. Forced on i-band.
i_ap25Flux_flag,boolean,,,General Failure Flag. Forced on i-band.
i_ap35Flux,double,nJy,,Flux within 35.0-pixel aperture. Forced on i-band.
i_ap35FluxErr,double,nJy,,Flux uncertainty within 35.0-pixel aperture. Forced on i-band.
i_ap35Flux_flag,boolean,,,General Failure Flag. Forced on i-band.
i_ap50Flux,double,nJy,,Flux within 50.0-pixel aperture. Forced on i-band.
i_ap50FluxErr,double,nJy,,Flux uncertainty within 50.0-pixel aperture. Forced on i-band.
i_ap50Flux_flag,boolean,,,General Failure Flag. Forced on i-band.
i_ap70Flux,double,nJy,,Flux within 70.0-pixel aperture. Forced on i-band.
i_ap70FluxErr,double,nJy,,Flux uncertainty within 70.0-pixel aperture. Forced on i-band.
i_ap70Flux_flag,boolean,,,General Failure Flag. Forced on i-band.
i_apFlux_flag,boolean,,,General Failure Flag. Measured on i-band.
i_apFlux_flag_apertureTruncated,boolean,,,Aperture did not fit within measurement image. Measured on i-band.
i_apFlux_flag_sincCoeffsTruncated,boolean,,,Full sinc coefficient image did not fit within measurement image. Measured on i-band.
i_bdChi2,double,,,-ln(likelihood) (chi^2) in cmodel fit. Measured on i-band.
i_bdE1,double,pixel^2,,FracDev-weighted average of exp.ellipse and dev.ellipse. Measured on i-band.
i_bdE2,double,pixel^2,,FracDev-weighted average of exp.ellipse and dev.ellipse. Measured on i-band.
i_bdFluxB,double,nJy,,Flux from the de Vaucouleur fit. Measured on i-band.
i_bdFluxBErr,double,nJy,,Flux uncertainty from the de Vaucouleur fit. Measured on i-band.
i_bdFluxD,double,nJy,,Flux from the exponential fit. Measured on i-band.
i_bdFluxDErr,double,nJy,,Flux uncertainty from the exponential fit. Measured on i-band.
i_bdReB,double,pixel^2,,Half-light ellipse of the de Vaucouleur fit. Measured on i-band.
i_bdReD,double,pixel^2,,Half-light ellipse of the exponential fit. Measured on i-band.
i_blendedness,double,,,"Measure of how much the flux is affected by neighbors, (1 - child_flux/parent_flux). Operates on the absolute value of the pixels to try to obtain a de-noised value. See section 4.9.11 of Bosch et al. 2018, PASJ, 70, S5 for details. Measured on i-band."
i_blendedness_flag,boolean,,,General Failure Flag. Measured on i-band.
i_cModelFlux,double,nJy,,Flux from the final cmodel fit. Forced on i-band.
i_cModelFluxErr,double,nJy,,Flux uncertainty from the final cmodel fit. Forced on i-band.
i_cModelFlux_inner,double,nJy,,"Flux within the fit region, with no extrapolation. Forced on i-band."
i_cModel_flag,boolean,,,Flag set if the final cmodel fit (or any previous fit) failed. Forced on i-band.
i_cModel_flag_apCorr,boolean,,,Set if unable to aperture correct modelfit_CModel. Forced on i-band.
i_calibFlux,double,nJy,,Flux within 12.0-pixel aperture. Measured on i-band.
i_calibFluxErr,double,nJy,,Flux uncertainty within 12.0-pixel aperture. Measured on i-band.
i_calibFlux_flag,boolean,,,General Failure Flag. Measured on i-band.
i_calibFlux_flag_apertureTruncated,boolean,,,Aperture did not fit within measurement image. Measured on i-band.
i_calibFlux_flag_sincCoeffsTruncated,boolean,,,Full sinc coefficient image did not fit within measurement image. Measured on i-band.
i_calib_astrometry_used,boolean,,,Propagated from sources. Measured on i-band.
i_calib_photometry_reserved,boolean,,,Propagated from sources. Measured on i-band.
i_calib_photometry_used,boolean,,,Propagated from sources. Measured on i-band.
i_calib_psf_candidate,boolean,,,Propagated from sources. Measured on i-band.
i_calib_psf_reserved,boolean,,,Propagated from sources. Measured on i-band.
i_calib_psf_used,boolean,,,Propagated from sources. Measured on i-band.
i_centroid_flag,boolean,,,General Failure Flag. Measured on i-band.
i_centroid_x,double,pixel,,Centroid from Sdss Centroid algorithm. Measured on i-band.
i_centroid_xErr,float,pixel,,1-sigma uncertainty on x position. Measured on i-band.
i_centroid_y,double,pixel,,Centroid from Sdss Centroid algorithm. Measured on i-band.
i_centroid_yErr,float,pixel,,1-sigma uncertainty on y position. Measured on i-band.
i_decl,double,deg,pos.eq.dec,Position in ra/dec. Measured on i-band.
i_extendedness,double,,,"Set to 1 for extended sources, 0 for point sources. Measured on i-band."
i_extendedness_flag,boolean,,,Set to 1 for any fatal failure. Measured on i-band.
i_free_cModelFlux,double,nJy,,Flux from the final cmodel fit. Measured on i-band.
i_free_cModelFluxErr,double,nJy,,Flux uncertainty from the final cmodel fit. Measured on i-band.
i_free_cModelFlux_flag,boolean,,,Flag set if the final cmodel fit (or any previous fit) failed. Measured on i-band.
i_free_cModelFlux_inner,double,nJy,,"Flux within the fit region, with no extrapolation. Measured on i-band."
i_free_psfFlux,double,nJy,,Flux derived from linear least-squares fit of PSF model. Measured on i-band.
i_free_psfFluxErr,double,nJy,,Flux uncertainty derived from linear least-squares fit of PSF model. Measured on i-band.
i_free_psfFlux_flag,boolean,,,General Failure Flag. Measured on i-band.
i_fwhm,double,pixel^2,,HSM moments. Measured on i-band.
i_gaap0p5Flux,double,nJy,,GAaP Flux with 0.5 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap0p5FluxErr,double,nJy,,GAaP Flux uncertainty with 0.5 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap0p5Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on i-band.
i_gaap0p7Flux,double,nJy,,GAaP Flux with 0.7 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap0p7FluxErr,double,nJy,,GAaP Flux uncertainty with 0.7 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap0p7Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on i-band.
i_gaap1p0Flux,double,nJy,,GAaP Flux with 1.0 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap1p0FluxErr,double,nJy,,GAaP Flux uncertainty with 1.0 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap1p0Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on i-band.
i_gaap1p5Flux,double,nJy,,GAaP Flux with 1.5 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap1p5FluxErr,double,nJy,,GAaP Flux uncertainty with 1.5 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap1p5Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on i-band.
i_gaap2p5Flux,double,nJy,,GAaP Flux with 2.5 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap2p5FluxErr,double,nJy,,GAaP Flux uncertainty with 2.5 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap2p5Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on i-band.
i_gaap3p0Flux,double,nJy,,GAaP Flux with 3.0 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap3p0FluxErr,double,nJy,,GAaP Flux uncertainty with 3.0 aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaap3p0Flux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on i-band.
i_gaapFlux_flag,boolean,,,Set for any fatal failure. Forced on i-band.
i_gaapFlux_flag_edge,boolean,,,Source is too close to the edge. Forced on i-band.
i_gaapFlux_flag_gaussianization,boolean,,,PSF Gaussianization failed when trying to scale by this factor. Forced on i-band.
i_gaapOptimalFlux,double,nJy,,GAaP Flux with optimal aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaapOptimalFluxErr,double,nJy,,GAaP Flux uncertainty with optimal aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaapOptimalFlux_flag_bigPsf,boolean,,,The Gaussianized PSF is bigger than the aperture. Forced on i-band.
i_gaapPsfFlux,double,nJy,,GAaP Flux with PSF aperture after multiplying the seeing by 1.15. Forced on i-band.
i_gaapPsfFluxErr,double,nJy,,GAaP Flux uncertainty with PSF aperture after multiplying the seeing by 1.15. Forced on i-band.
i_hsmShapeRegauss_e1,double,,,PSF-corrected shear using Hirata & Seljak (2003) regaussianization. Measured on i-band.
i_hsmShapeRegauss_e2,double,,,PSF-corrected shear using Hirata & Seljak (2003) regaussianization. Measured on i-band.
i_hsmShapeRegauss_flag,boolean,,,"General failure flag, set if anything went wrong. Measured on i-band."
i_hsmShapeRegauss_sigma,double,,,PSF-corrected shear using Hirata & Seljak (2003) regaussianization. Measured on i-band.
i_iDebiasedPSF_flag,boolean,,,"General failure flag, set if anything went wrong. Measured on i-band."
i_iPSF_flag,boolean,,,"General failure flag, set if anything went wrong. Measured on i-band."
i_iRound_flag,double,pixel^2,,HSM moments. Measured on i-band.
i_i_flag,boolean,,,"General failure flag, set if anything went wrong. Measured on i-band."
i_inputCount,int,,,"Number of images contributing at center, not including anyclipping. Forced on i-band."
i_inputCount_flag,boolean,,,Set for any fatal failure. Forced on i-band.
i_inputCount_flag_noInputs,boolean,,,No coadd inputs available. Forced on i-band.
i_ixx,double,pixel^2,,HSM moments. Measured on i-band.
i_ixxDebiasedPSF,double,pixel^2,,HSM moments. Measured on i-band.
i_ixxPSF,double,pixel^2,,HSM moments. Measured on i-band.
i_ixxRound,double,pixel^2,,HSM moments. Measured on i-band.
i_ixy,double,pixel^2,,HSM moments. Measured on i-band.
i_ixyDebiasedPSF,double,pixel^2,,HSM moments. Measured on i-band.
i_ixyPSF,double,pixel^2,,HSM moments. Measured on i-band.
i_ixyRound,double,pixel^2,,HSM moments. Measured on i-band.
i_iyy,double,pixel^2,,HSM moments. Measured on i-band.
i_iyyDebiasedPSF,double,pixel^2,,HSM moments. Measured on i-band.
